ffy_id,mse_xgb,mse_rf,mse_mlp
11_1_2021,1449.2659845247028,1136.0856370185206,2921.9590521636537
13_1_2018,369.9398587550638,364.8363544918813,596.2886177651574
13_2_2018,374.81548300576856,362.323255391827,818.1669032173919
17_1_2023,1223.2869586511908,1177.8786678902736,5269.254930115794
18_1_2023,501.4605761395125,594.5958799980455,1569.9089525941367
19_2_2018,774.763787211486,942.3355437583915,712.7262410555334
19_4_2017,210.7284991533132,216.51104386042388,459.2129736024757
19_4_2019,1462.8853193265657,926.3377607019123,421.4033215156738
20_1_2019,606.7741210613789,471.71297623715407,576.4667471048808
20_2_2021,863.6764560606505,993.251986481542,2973.5203010027108
20_3_2020,2927.4068582866125,3504.293686378979,3154.218325240041
20_4_2022,299.3450211941488,624.1017694794555,1672.1150087217036
20_5_2023,1484.8565697197603,441.96371603942174,2650.9796801782154
22_1_2021,423.42456944960014,604.874761909668,430.0203121588452
23_1_2021,365.61093554801903,367.14225053467715,712.0137084701264
23_2_2018,269.8428567258501,225.67700356281767,513.1107553293647
23_2_2020,253.25193770774706,260.3356857091046,2141.611805375279
23_2_2022,266.89938706132557,157.5922556857278,1048.8752468932694
23_3_2017,1317.8718451633163,212.86191287775458,761.6583662752223
23_3_2019,3429.120124172279,3089.238575454649,704.5880282743485
23_3_2021,480.0721452494261,654.0201593719612,567.4755633831164
24_1_2021,362.683485543492,712.5123193537223,125.46177785628585
25_1_2020,3059.6836189374217,3203.002523876893,206.9417937007317
25_2_2018,896.8073589310121,964.5437919854812,2670.69079605059
26_1_2023,372.80882322058034,438.47868416704716,764.9516921664297
28_1_2021,2851.281068547519,2709.4455183234268,2837.753053558173
28_1_2023,1634.675387548341,1556.4242074904305,3107.3020672083353
28_2_2021,531.6883662686766,540.2999811025583,634.2922634282786
28_3_2023,555.5653971993872,555.4209672706411,2091.0242448808594
28_4_2022,286.782572727647,352.55013953423986,3316.427005678009
28_5_2018,526.5262355151658,716.6817862457507,894.4022250971708
28_5_2020,552.8717170788326,534.5021623592608,966.2955199358458
28_5_2022,830.005087179324,712.7782939423438,3640.2996365239915
29_1_2018,355.8764303084238,366.2304532041689,504.29066850709927
2_1_2023,1939.5672877093675,1864.2867642928393,3423.0887457811514
30_1_2022,203.90568884468033,223.64721579632192,370.94891060097564
30_2_2022,199.83464698087553,226.2867642276707,415.83919570677875
32_1_2021,692.5661908915417,440.37788830192073,1201.1176244687654
32_2_2021,434.0069922132682,337.9004747174382,848.2085418911671
32_3_2021,755.0040973278823,630.0404045956401,1465.0858646029344
32_4_2018,1227.2260438547326,1010.9264412785309,210.36149525329728
32_4_2020,1992.9625078106124,1922.266071079686,1525.8501485208833
32_5_2021,1482.2198450423614,1482.0573418525905,1549.7124539635793
33_3_2021,869.1577726880503,900.4100224769952,10665.65835250148
34_1_2018,5285.349155832219,5125.003682588617,5402.2462636330265
34_2_2020,498.62899414911516,527.1892275176227,2366.6911419527005
34_3_2016,845.501010748074,1157.7088536066458,673.7478778158226
34_4_2023,1551.075228869656,1908.047683918798,1096.8510601945645
35_1_2023,840.9068195152971,1005.13279453795,2853.096367728037
35_2_2023,2843.9567227865386,1743.5503960575625,3115.7383540026344
36_1_2023,508.88078542620065,187.63216978243966,682.9454380673519
36_2_2023,929.7345939138261,967.5658698737227,2151.4775411257615
36_3_2018,1603.7457169657876,976.9077331296501,1586.4177370549044
36_3_2020,135.9881696888267,137.89371325109437,1240.822774913326
36_4_2017,280.9296142738395,312.4731604068951,355.8059968840425
36_4_2021,623.4605018677397,629.0487300366922,1091.2190965318869
3_1_2016,1606.5253302708122,1693.7178066347512,14561.353075849349
3_1_2018,1946.6749460852193,2047.38367842329,5466.49576190478
3_1_2020,1826.1416882160095,1779.6383378669743,7910.518118033218
3_2_2016,1161.147699472354,1303.7075367904044,10362.799130407728
3_2_2018,2115.38971223003,1521.9745468896215,2631.529546745946
3_2_2020,1831.3536196935622,1863.8795191171355,6723.288164735558
3_3_2017,1130.788944366661,830.160168623102,4680.828518712768
3_3_2019,3211.9759380126875,2426.2517216527476,12479.323841765541
40_1_2017,240.35260838599828,263.31424152615597,227.15474195585338
40_1_2019,1586.9981090967376,1030.9442473839026,1622.3022744134962
40_1_2021,1462.4707566031386,1315.6036465999582,858.6603154927799
40_2_2018,4636.579390502226,4827.558438568133,495.66116242203015
5_1_2019,1409.9959018535853,676.071584812738,7992.972340425504
5_1_2021,621.958844209492,1727.9558211282192,2801.1892215585904
6_1_2021,2951.90710332956,1413.667320303139,13203.026871933267
7_1_2023,5357.331277435851,7967.829924206541,522.8581875252409
